policy_id;policy;from_state;transition_type;bar_type;L_plot;L_label;count;color_id
0;resilient_predictive;0;0to1;miss;-1;miss;3;0
0;resilient_predictive;0;0to1;ontime;0;0;16;1
0;resilient_predictive;0;0to1;early;1;1;21;2
0;resilient_predictive;0;0to1;early;2;2;4;2
0;resilient_predictive;1;1to0;miss;-1;miss;2;0
0;resilient_predictive;1;1to0;ontime;0;0;8;1
0;resilient_predictive;1;1to0;early;1;1;25;2
0;resilient_predictive;1;1to0;early;2;2;9;2
1;predictive;0;0to1;miss;-1;miss;7;0
1;predictive;0;0to1;ontime;0;0;14;1
1;predictive;0;0to1;early;1;1;19;2
1;predictive;0;0to1;early;2;2;4;2
1;predictive;1;1to0;miss;-1;miss;9;0
1;predictive;1;1to0;ontime;0;0;7;1
1;predictive;1;1to0;early;1;1;19;2
1;predictive;1;1to0;early;2;2;9;2
2;event_trigger;0;0to1;miss;-1;miss;7;0
2;event_trigger;0;0to1;ontime;0;0;37;1
2;event_trigger;1;1to0;miss;-1;miss;8;0
2;event_trigger;1;1to0;ontime;0;0;36;1
3;probability;0;0to1;miss;-1;miss;7;0
3;probability;0;0to1;ontime;0;0;14;1
3;probability;0;0to1;early;1;1;19;2
3;probability;0;0to1;early;2;2;4;2
3;probability;1;1to0;miss;-1;miss;2;0
3;probability;1;1to0;ontime;0;0;9;1
3;probability;1;1to0;early;1;1;24;2
3;probability;1;1to0;early;2;2;9;2
4;aoii;0;0to1;miss;-1;miss;15;0
4;aoii;0;0to1;ontime;0;0;16;1
4;aoii;0;0to1;early;1;1;11;2
4;aoii;0;0to1;early;2;2;2;2
4;aoii;1;1to0;miss;-1;miss;15;0
4;aoii;1;1to0;ontime;0;0;10;1
4;aoii;1;1to0;early;1;1;14;2
4;aoii;1;1to0;early;2;2;5;2
